"city","lat","long"
"akr",41.0804,278.478501
"albu",35.117218,253.375364
"atla",33.7629,275.577408
"aust",30.30588,262.249478
"bake",35.3577,240.995447
"balt",39.3008,283.389384
"batr",30.448967,268.873957
"birm",33.527746,273.200777
"bost",42.336029,288.982108
"buff",42.8898,281.140316
"char",35.19755,279.165486
"chic",41.83705,272.315035
"cinc",39.139801,275.494043
"clev",41.4797,278.321489
"colo",38.8632,255.240101
"clmo",39.988933,277.012619
"corp",27.705728,262.707173
"dlft",32.794151,263.234751
"dayt",39.779067,275.802643
"denv",39.768035,255.127345
"desm",41.576738,266.382595
"det",42.3831,276.897802
"elpa",31.84925,253.562451
"ftwa",41.07375,274.860976
"fres",36.7806,240.207126
"gdrp",42.96125,274.344273
"grnb",36.0789,280.173112
"hous",29.7687,264.613272
"indi",39.7764,273.853804
"jckv",30.33455,278.342308
"jers",40.7113,285.935038
"kan",39.122312,265.447991
"knox",35.97455,276.053712
"lasv",36.20575,244.777201
"ltrk",34.7224,267.645924
"la",34.112101,241.588799
"loui",38.22475,274.258844
"madi",43.0798,270.612481
"memp",35.1056,269.993009
"miam",25.775667,279.789155
"milw",43.06335,272.033377
"minn",44.96185,266.733151
"mobi",30.67745,271.911041
"mode",37.659799,239.006077
"nash",36.15914917,273.218078613
"no",30.065846,270.068645
"ny",40.6698,286.056151
"nwk",40.7241,285.826755
"oakl",37.771544,237.77545
"okla",35.46705,262.486509
"oma",41.2639,263.988255
"orla",28.504748,278.625752
"phil",40.006817,284.865322
"phoe",33.54255,247.928601
"pitt",40.439207,280.023298
"port",45.53825,237.343504
"prov",41.82195,288.580268
"ral",35.82195,281.341247
"rive",33.940437,242.602637
"roch",43.168651,282.384162
"sacr",38.56685,238.53264
"salt",40.777267,248.070079
"sana",29.45765,261.494645
"sanb",34.13975,242.707701
"sand",32.81495,242.86423
"sanf",37.79325,237.445217
"sanj",37.304,238.150217
"staa",33.8389,242.127669
"seat",47.6218,237.649674
"shr",32.47155,266.202192
"spok",47.6723,242.585976
"stlo",38.63605,269.755701
"stpe",27.758,277.357879
"stoc",37.96985,238.693259
"syra",43.041059,283.855933
"taco",47.252,237.540234
"tamp",27.959,277.51788
"tole",41.66395,276.418351
"tucs",32.195816,249.108283
"tuls",36.12775,264.083593
"dc",38.90505,282.983833
"wich",37.68735,262.657326
"wor",42.269633,288.19108
