"city","arealand"
"akr",1068948386
"albu",3020015825
"atla",2063867175
"aust",2562287673
"bake",21085000353
"balt",209282442
"batr",1179553107
"birm",2881639146
"bost",151555693
"buff",2704492010
"char",1363045973
"chic",2449300798
"cinc",1055069826
"clev",1187481481
"clmo",1398253363
"colo",5507477052
"corp",2164755364
"dayt",1195735149
"dc",159033692
"denv",5564394742
"desm",1474600546
"det",1590646446
"dlft",7043111078
"elpa",2623932741
"fres",15443387242
"ftwa",1702268870
"gdrp",2217482769
"grnb",1681997762
"hous",4477636200
"indi",1026279857
"jckv",2003789932
"jers",120920280
"kan",3681731383
"knox",1316911987
"la",10517607254
"lasv",20487673594
"loui",997372560
"ltrk",1996416793
"madi",3112893194
"memp",1954232183
"miam",5040281893
"milw",625636083
"minn",1845092366
"mobi",3193690623
"mode",3868899889
"nash",1300859318
"no",467638563
"nwk",327029640
"ny",1906581212
"oakl",1910302974
"okla",1836542444
"oma",857229815
"orla",2350283150
"phil",349881748
"phoe",23836016480
"pitt",1891131054
"port",5965790681
"prov",1070356682
"ral",2154672822
"rive",18666999221
"roch",1707563493
"sacr",2501026086
"salt",1909799816
"sana",3229259925
"sanb",51935723751
"sand",10877666909
"sanf",120938107
"sanj",3342865290
"seat",5506429437
"shr",4458002544
"spok",4567796041
"staa",2044547652
"stlo",160381752
"stoc",3624124428
"stpe",724980947
"syra",2020950659
"taco",4348366146
"tamp",2721840817
"tole",881799074
"tucs",23792316898
"tuls",1477070950
"wich",2588371255
"wor",3918817426
